X,UV,Green,Red
754,115,61,434
755,103,81,436
756,102,62,461
757,103,64,433
758,106,43,435
759,100,43,490
760,113,44,469
761,104,38,526
762,110,26,523
763,129,26,556
764,108,33,581
765,113,30,604
766,126,23,697
767,109,29,658
768,117,20,744
769,117,29,681
770,109,19,767
771,107,33,773
772,109,27,739
773,130,21,776
774,110,20,779
775,130,27,741
776,124,15,720
777,110,26,764
778,129,27,766
779,127,30,695
780,135,24,787
781,150,43,735
782,128,53,733
783,163,94,757
784,150,100,772
785,133,72,787
786,127,63,828
787,148,50,859
788,143,22,823
789,124,4,828
790,124,9,970
791,133,5,880
792,104,2,1053
793,98,13,1042
794,102,8,1134
795,111,9,1130
796,108,5,1149
797,103,17,1221
798,105,18,1121
799,121,32,1201
800,107,48,1098
801,118,70,1067
802,134,99,1053
803,116,164,961
804,105,178,947
805,132,227,891
806,128,178,896
807,128,160,913
808,125,124,876
809,116,130,815
810,117,124,830
811,115,152,765
812,123,128,754
813,110,145,795
814,115,116,707
815,92,109,756
816,106,109,782
817,140,87,749
818,123,63,764
819,115,48,749
820,140,57,766
821,129,38,777
822,138,49,786
823,134,49,760
824,125,50,795
825,127,48,751
826,110,55,818
827,117,48,799
828,146,48,829
829,112,43,781
830,113,59,842
831,114,54,808
832,109,61,795
833,113,49,738
834,102,34,799
835,103,18,753
836,92,7,737
837,103,14,678
838,119,12,667
839,78,26,666
840,103,23,632
841,89,19,644
842,71,16,598
843,99,15,556
844,102,17,550
845,98,19,536
846,95,19,544
847,114,8,510
848,116,5,511
849,115,6,467
850,100,2,482
851,119,0,465
852,127,1,479
853,111,0,474
854,115,1,461
855,84,0,435
856,106,0,471
857,101,0,454
858,107,0,448
859,116,0,443
860,88,0,439
861,109,0,404
862,113,1,437
863,130,0,411
864,116,0,404
865,115,0,382
866,114,1,403
867,132,0,395
868,132,0,362
869,134,0,370
870,126,0,368
871,138,6,315
872,138,3,306
873,144,5,325
874,154,3,311
875,148,4,279
876,126,4,294
877,117,3,282
878,119,6,235
879,120,2,250
880,128,5,222
881,113,4,232
882,119,2,230
883,123,3,196
884,128,2,215
885,95,1,193
886,109,1,216
887,118,4,195
888,110,3,176
889,128,4,160
890,116,2,153
891,122,1,175
892,116,7,146
893,97,23,154
894,105,110,147
895,100,348,157
896,117,585,133
897,129,721,155
898,131,672,139
899,132,595,145
900,127,634,143
901,128,639,157
902,121,602,135
903,132,591,134
904,123,580,122
905,119,585,122
906,125,643,106
907,127,555,134
908,135,595,120
909,109,587,104
910,107,686,97
911,134,666,90
912,137,576,95
913,91,579,107
914,106,545,103
915,109,461,115
916,116,368,99
917,115,311,110
918,115,262,112
919,102,191,93
920,117,164,93
921,110,123,99
922,101,88,79
923,109,84,82
924,118,66,106
925,128,54,75
926,96,54,83
927,114,58,87
928,118,65,97
929,117,67,74
930,124,63,96
931,111,66,92
932,100,61,93
933,128,68,82
934,118,67,79
935,123,72,68
936,131,67,82
937,132,83,80
938,142,85,76
939,164,79,65
940,157,84,73
941,189,103,59
942,172,131,88
943,174,164,88
944,193,203,66
945,204,211,70
946,213,223,76
947,188,231,91
948,215,199,56
949,205,218,79
950,197,179,87
951,211,207,80
952,197,165,63
953,234,209,67
954,193,216,80
955,203,244,71
956,197,261,81
957,191,264,61
958,204,264,78
959,193,336,87
960,191,337,77
961,219,357,70
962,192,381,68
963,181,405,75
964,190,421,83
965,201,478,71
966,208,505,78
967,178,499,79
968,187,488,86
969,185,540,76
970,180,531,84
971,151,542,91
972,158,577,72
973,194,577,103
974,167,573,93
975,148,569,126
976,175,543,88
977,183,593,95
978,179,584,108
979,177,533,116
980,201,542,113
981,195,524,113
982,231,528,107
983,202,521,115
984,214,501,139
985,211,464,140
986,218,501,120
987,240,486,111
988,252,516,141
989,252,414,135
990,249,447,151
991,268,473,142
992,262,450,144
993,230,484,133
994,218,469,147
995,193,436,155
996,153,421,154
997,116,445,156
998,125,397,185
999,111,416,180
1000,89,405,167
1001,89,423,175
1002,100,418,179
1003,88,368,180
1004,80,421,194
1005,96,408,186
1006,82,371,185
1007,105,389,202
1008,103,364,217
1009,91,333,220
1010,86,396,220
1011,88,434,223
1012,65,416,219
1013,89,388,211
1014,84,363,196
1015,83,376,208
1016,81,380,202
1017,101,393,254
1018,86,438,240
1019,84,405,235
1020,93,391,245
1021,92,407,246
1022,101,475,256
1023,101,444,254
1024,103,466,279
1025,117,432,248
1026,117,493,290
1027,127,471,280
1028,125,538,339
1029,112,493,279
1030,115,545,327
1031,169,513,341
1032,140,603,303
1033,145,608,283
1034,146,635,299
1035,134,627,303
1036,153,669,343
1037,133,699,338
1038,147,721,323
1039,147,710,378
1040,110,793,345
1041,115,780,374
1042,126,866,391
1043,100,857,413
1044,94,916,391
1045,101,973,411
1046,101,939,423
1047,97,1075,429
1048,81,1132,422
1049,75,1125,370
1050,72,1141,406
1051,96,1266,436
1052,99,1250,435
1053,86,1235,459
1054,91,1279,429
1055,82,1356,497
1056,101,1403,463
1057,93,1427,453
1058,94,1440,450
1059,108,1441,470
1060,85,1465,489
1061,61,1491,461
1062,99,1460,468
1063,91,1444,462
1064,67,1498,462
1065,75,1532,482
1066,91,1556,474
1067,93,1517,468
1068,78,1524,466
1069,86,1539,474
1070,100,1539,496
1071,102,1534,444
1072,84,1588,481
1073,94,1591,398
1074,93,1646,484
1075,82,1624,403
1076,80,1771,419
1077,80,1741,399
1078,90,1792,431
1079,81,1829,410
1080,95,1876,430
1081,77,1974,447
1082,99,2036,422
1083,80,2038,431
1084,85,2135,411
1085,75,2223,403
1086,84,2239,409
1087,68,2339,387
1088,76,2325,421
1089,72,2472,399
1090,68,2539,398
1091,72,2731,432
1092,73,2701,433
1093,66,2780,430
1094,78,2742,386
1095,80,2852,471
1096,72,2939,417
1097,66,2844,402
1098,74,2908,406
1099,76,2968,426
1100,69,2896,432
1101,70,2940,444
1102,75,2866,439
1103,93,2959,407
1104,70,2828,462
1105,81,2760,478
1106,87,2736,443
1107,91,2762,468
1108,76,2703,486
1109,74,2595,448
1110,75,2691,480
1111,91,2793,503
1112,90,2631,495
1113,89,2798,397
1114,82,2830,499
1115,77,2895,459
1116,91,3136,525
1117,75,3261,475
1118,79,3377,466
1119,82,3497,458
1120,80,3709,456
1121,70,3886,479
1122,82,4045,489
1123,92,3948,472
1124,83,4078,417
1125,65,3960,457
1126,76,3963,514
1127,88,3660,514
1128,73,3630,519
1129,58,3361,473
1130,76,3271,489
1131,91,3268,497
1132,95,3502,545
1133,118,3885,492
1134,87,4136,482
1135,111,4339,491
1136,92,4339,493
1137,96,4105,522
1138,89,3952,518
1139,118,3999,512
1140,92,4028,529
1141,96,4118,527
1142,82,4155,549
1143,90,3701,549
1144,121,3228,554
1145,91,2675,608
1146,90,2374,613
1147,94,2390,627
1148,92,2356,641
1149,99,2156,635
1150,89,1853,595
1151,101,1679,616
1152,102,1623,645
1153,102,1592,654
1154,73,1573,623
1155,77,1582,622
1156,89,1532,611
1157,92,1552,631
1158,91,1451,667
1159,96,1370,574
1160,110,1311,614
1161,105,1271,649
1162,117,1149,661
1163,123,1073,622
1164,105,1041,651
1165,109,973,637
1166,117,945,637
1167,117,853,611
1168,102,801,632
1169,101,715,618
1170,101,764,654
1171,100,685,676
1172,76,665,729
1173,97,675,674
1174,110,666,777
1175,111,654,733
1176,102,629,731
1177,103,629,744
1178,101,587,747
1179,117,530,762
1180,115,588,799
1181,121,630,840
1182,109,648,843
1183,107,814,860
1184,117,969,859
1185,105,1033,931
1186,108,1085,880
1187,99,1103,899
1188,114,860,842
1189,111,713,875
1190,104,582,904
1191,89,592,859
1192,102,778,876
1193,87,997,811
1194,79,1499,805
1195,95,2056,767
1196,96,2496,697
1197,98,2837,743
1198,78,2707,727
1199,105,2170,707
1200,97,1905,710
1201,113,1515,676
1202,105,1539,662
1203,105,1316,688
1204,101,1236,700
1205,101,1207,725
1206,91,1143,688
1207,94,1176,716
1208,91,1075,730
1209,94,849,779
1210,84,522,766
1211,79,320,753
1212,79,189,760
1213,93,126,762
1214,89,101,805
1215,92,115,832
1216,74,114,785
1217,89,111,761
1218,107,140,776
1219,94,214,804
1220,93,341,740
1221,96,585,717
1222,119,856,683
1223,94,1262,638
1224,116,1450,641
1225,123,1609,620
1226,116,1748,602
1227,121,1823,620
1228,113,1706,619
1229,108,1355,596
1230,100,1203,604
1231,99,1436,546
1232,121,1678,630
1233,129,1740,630
1234,110,1551,644
1235,89,1266,647
1236,100,1305,707
1237,104,1366,713
1238,128,1496,714
1239,100,1692,778
1240,121,1978,748
1241,129,2337,755
1242,109,2707,801
1243,128,2887,779
1244,128,3105,704
1245,113,3143,719
1246,117,3092,641
1247,114,2984,632
1248,104,2906,657
1249,117,3260,579
1250,122,3406,591
1251,142,3002,592
1252,127,2188,618
1253,141,1528,586
1254,130,1100,530
1255,138,1003,567
1256,159,898,539
1257,161,1003,549
1258,178,957,550
1259,169,899,590
1260,170,888,644
1261,181,853,667
1262,162,878,754
1263,199,939,703
1264,152,1051,750
1265,159,1018,826
1266,163,1176,920
1267,179,1291,1017
1268,178,1220,1088
1269,165,1047,1122
1270,160,963,1131
1271,180,909,1154
1272,169,931,1035
1273,196,978,948
1274,188,1061,975
1275,199,1119,843
1276,230,1131,802
1277,245,1110,717
1278,222,1170,692
1279,210,1305,653
1280,216,1316,666
1281,212,1237,631
1282,232,1149,607
1283,210,1043,612
1284,183,1013,643
1285,202,976,643
1286,226,935,660
1287,208,912,611
1288,197,860,657
1289,203,851,660
1290,187,794,713
1291,207,833,713
1292,216,825,702
1293,221,982,808
1294,198,986,758
1295,196,823,752
1296,206,831,725
1297,200,827,659
1298,191,841,597
1299,193,826,555
1300,168,848,512
1301,183,864,471
1302,175,786,431
1303,198,768,429
1304,186,792,395
1305,188,745,405
1306,194,684,398
1307,215,699,431
1308,227,585,375
1309,202,580,359
1310,168,609,362
1311,177,572,382
1312,150,593,392
1313,192,671,353
1314,174,720,335
1315,156,648,348
1316,181,655,295
1317,174,705,294
1318,170,663,294
1319,172,610,343
1320,184,601,315
1321,207,537,331
1322,200,513,265
1323,219,466,233
1324,172,479,232
