X,UV,Green,Red
1477,24,67,39
1478,9,130,90
1479,19,79,84
1480,15,122,43
1481,7,56,94
1482,25,110,75
1483,10,62,50
1484,9,141,85
1485,19,60,56
1486,14,151,95
1487,35,67,42
1488,16,121,81
1489,9,85,43
1490,20,147,70
1491,9,66,41
1492,32,130,74
1493,12,62,40
1494,22,140,91
1495,8,78,48
1496,15,116,41
1497,30,70,77
1498,12,149,43
1499,35,58,85
1500,9,119,42
1501,25,96,42
1502,13,71,90
1503,19,128,32
1504,17,66,55
1505,11,122,72
1506,26,67,52
1507,8,128,39
1508,31,58,41
1509,11,85,83
1510,24,129,34
1511,15,74,41
1512,30,121,33
1513,27,90,97
1514,10,59,44
1515,22,117,41
1516,9,88,32
1517,25,66,52
1518,25,133,105
1519,10,52,44
1520,14,54,49
1521,12,130,44
1522,19,57,38
1523,20,73,73
1524,14,71,36
1525,18,136,42
1526,6,66,39
1527,28,57,53
1528,12,76,55
1529,19,116,69
1530,12,59,38
1531,29,73,49
1532,18,82,39
1533,22,122,42
1534,15,57,48
1535,24,65,32
1536,11,58,34
1537,26,66,104
1538,5,110,41
1539,11,71,36
1540,26,68,50
1541,9,67,39
1542,12,67,40
1543,29,60,40
1544,10,124,50
1545,6,53,83
1546,31,75,47
1547,13,65,46
1548,15,69,39
1549,9,71,38
1550,22,84,38
1551,7,76,33
1552,7,149,47
1553,11,60,46
1554,11,72,47
1555,25,61,40
1556,12,62,85
1557,17,58,33
1558,10,80,34
1559,18,65,35
1560,9,70,43
1561,25,68,32
1562,9,93,42
1563,8,62,46
1564,10,139,36
1565,10,58,49
1566,11,61,46
1567,14,60,74
1568,12,68,39
1569,14,68,48
1570,13,73,46
1571,10,62,50
1572,16,66,59
1573,20,70,49
1574,10,74,37
1575,14,64,35
1576,12,86,43
1577,17,71,44
1578,18,76,38
1579,14,64,47
1580,17,61,76
1581,21,66,50
1582,15,69,45
1583,20,78,39
1584,15,65,46
1585,11,53,40
1586,16,62,39
1587,17,67,39
1588,11,72,41
1589,9,55,50
1590,12,126,51
