source_id,ra,dec,phot_g_mean_mag,astrometric_excess_noise,x_true_equator,y_true_equator,dgm_sector
6051233475501932416,248.67103268543372,-22.663691977892405,14.330061,8.163421,-9370.900891854211,-841.263116949126,Prograde
6242246957673983232,242.89591454502366,-23.01376361558635,13.70727,7.413796,9802.110769931345,-463.72091488104854,Retrograde
6050402038557188736,243.68228083543792,-23.242526668092253,13.812656,7.1861024,7237.263475676552,478.9644534160634,Retrograde
6050422826200455040,244.24899541871605,-22.984570919346595,14.838609,7.06411,5318.73112131636,-362.2006582149999,Retrograde
6050468833885505280,244.3544434845964,-22.978073149236057,13.591374,6.2778335,4968.632947693543,-369.47469242850156,Retrograde
6051220758100472960,248.5399181261784,-22.905215331496485,14.233908,6.2521653,-8896.878303373996,7.287894379375132,Prograde
6050422860560207616,244.26099032342654,-22.977348530809184,14.508544,5.057262,5277.831795866377,-386.343041416213,Retrograde
6051752513710104704,246.37228962826438,-22.823528131121677,14.364435,4.9192796,-1735.8273720371242,-617.2897170392034,Prograde
6051166645810624000,248.7256079696985,-23.146209192849227,14.284379,4.6678033,-9471.528929693495,902.2843254227505,Prograde
6050807998861409536,247.99346130649567,-23.35357864351752,14.552043,4.5617905,-7013.823882645685,1536.2843862763466,Prograde
6050446259537165184,244.6955597093383,-23.24249234177974,12.750697,4.5555964,3883.423556819371,633.4840517806756,Retrograde
6050422104646094976,244.26693525422874,-22.977863354760245,14.935247,4.3312383,5258.240138952471,-383.58434791338175,Retrograde
6051810066271766272,245.70470611695777,-22.58487204559997,14.947315,4.240707,434.2224181356437,-1577.4239964475225,Retrograde
6051004639645542912,246.7918597769327,-22.831641729307403,12.961534,4.1592956,-3123.2099777131866,-524.0784504929327,Prograde
6050422860560375680,244.25817361666665,-22.973002432263208,13.84033,4.121573,5286.434106096083,-402.40226629190556,Retrograde
6050422860560329472,244.2583851984853,-22.97553287136537,14.4932375,3.9427247,5286.153385935639,-393.2700630441385,Retrograde
6051167642239219712,248.78541709686414,-23.048199601844832,14.9485855,3.7230806,-9685.741821668867,558.9521339484894,Prograde
6050422826200899072,244.2487429987022,-22.98451199885463,14.899765,3.7107048,5319.556831913289,-362.45107031135706,Retrograde
6050422860561681280,244.25994664778284,-22.979694736163164,13.970731,3.6034122,5281.675281517582,-378.06494869441565,Retrograde
6050422860560213632,244.25923992521052,-22.977989827134966,13.747553,3.5742078,5283.731746752374,-384.3039645224633,Retrograde
6050422860561681152,244.26140013678219,-22.977829469557346,14.842564,3.5571878,5276.555109740236,-384.5509552438057,Retrograde
6050422860560263936,244.2596094005775,-22.97681891469396,14.637265,3.454232,5282.314668961366,-388.45838742192905,Retrograde
6050153926882237056,244.54509840554448,-23.541040082552424,14.406815,3.4457684,4430.937236430672,1684.1523443536948,Retrograde
6050422860560362880,244.26277326851627,-22.975231543831736,14.190391,3.3436522,5271.579423452576,-393.68399909693926,Retrograde
6050422860552800640,244.2605633511464,-22.975944243225847,14.475205,3.302084,5279.012168713081,-391.4582741663617,Retrograde
6050422860560453120,244.26270366981606,-22.973263569320345,14.897564,3.2988038,5271.48346256225,-400.7718099402623,Retrograde
6050379017532384128,243.7522056175662,-23.43563413700113,13.16479,3.1865058,7037.841227399506,1184.0851829697813,Retrograde
6050018377718181888,243.40182318366172,-23.441029999179595,14.038582,3.1590958,8198.460715758654,1150.0155409136519,Retrograde
6051719597082092032,246.15232799555136,-23.05020660581559,14.173195,3.1429937,-970.1929304107767,164.31692357768372,Prograde
6050422860561681408,244.25897111987078,-22.976541626212153,14.322108,2.893525,5284.381323981528,-389.5529786294507,Retrograde
6050355824711338880,244.54251713782554,-23.257803580583833,14.694863,2.870058,4392.51538831199,665.1891931798094,Retrograde
6050275697793991552,245.3052990742253,-23.116568816086875,13.507291,2.8340027,1844.377462123322,273.69675999937476,Retrograde
6050422860552935296,244.26013508608827,-22.975075636773045,14.847016,2.829148,5280.285645757835,-394.6472988948762,Retrograde
6050422860560288384,244.25913756591737,-22.975734008759197,14.675472,2.7231088,5283.696490059872,-392.431913279658,Retrograde
6051233544223484160,248.67088574606373,-22.663562506385937,14.587048,2.7102933,-9370.436008402932,-841.7511450507077,Prograde
6050795388837732352,248.53441457057397,-23.103614560236917,14.911532,2.6947114,-8845.764134730916,719.9271339618213,Prograde
6051438362622610176,248.18084516895635,-22.442756245790356,14.9088,2.596043,-7785.0726951051,-1710.5982805782771,Prograde
6050422860560347904,244.2608659629554,-22.975824840604027,14.62969,2.5785205,5277.990760085317,-391.84148384203104,Retrograde
6242595468500378752,243.63560828257118,-22.744944560762082,14.688515,2.5708158,7309.23637813832,-1317.552954088874,Retrograde
6050422860561679232,244.2609676800946,-22.97564047473923,14.171467,2.4883144,5277.6235172156175,-392.48897281336315,Retrograde
6050944063425483520,246.35114117411794,-23.460301211704078,6.76096,2.3451102,-1560.2404100235738,1669.432765978042,Prograde
6050422860560489984,244.26250249607003,-22.97540585742045,14.807446,2.343655,5272.504552718015,-393.0984605351205,Retrograde
6050422860560588288,244.25832940154962,-22.979300903913316,13.766079,2.3232663,5286.962872624317,-379.7280584324848,Retrograde
6050423788272574208,244.07159294117415,-23.02216179057002,14.650735,2.3172483,5912.145735449053,-254.09168969768768,Retrograde
