id,pos_x,pos_y
166,-1.060341,-1.4297049
167,-0.6095245,-0.8654584
168,-0.960433,-1.4373907
169,-0.93994504,-1.4843363
170,-0.67087865,-1.1192931
171,-0.65999424,-1.1650527
172,-0.41918188,-0.7842342
173,-0.53000283,-1.0529349
174,-0.5765373,-1.2189864
175,-0.4896332,-1.1045958
176,-0.5498807,-1.3275309
177,-0.26618472,-0.6900579
178,-0.3180371,-0.888854
179,-0.23810713,-0.7207607
180,-0.44296253,-1.4602529
181,-0.22305909,-0.8060327
182,-0.3891743,-1.553673
183,-0.2491004,-1.1092963
184,-0.22132622,-1.1126816
185,-0.14906676,-0.85909295
186,-0.112202525,-0.7564084
187,-0.118826464,-0.96342057
188,-0.10349693,-1.0508244
189,-0.08334518,-1.1298877
190,-0.07141015,-1.4535971
191,-0.042088307,-1.714484
192,0.000000021324436,-1.7882307
193,0.026174454,-1.0662256
194,0.06614873,-1.3464841
195,0.060847193,-0.82488275
196,0.095259994,-0.96718806
197,0.19940974,-1.6167668
198,0.1192759,-0.8040931
199,0.21257076,-1.2250754
200,0.21796714,-1.0957941
201,0.3276381,-1.4590372
202,0.31118476,-1.2423183
203,0.42903253,-1.5503225
204,0.27909636,-0.9200564
205,0.42029193,-1.2722422
206,0.51953095,-1.4519913
207,0.81444925,-2.1113791
208,0.6603548,-1.5942367
209,0.52666247,-1.1881306
210,0.3266372,-0.6906157
211,0.47152153,-0.9367515
212,0.556341,-1.0408409
213,0.43035737,-0.75968707
214,0.36660737,-0.6116472
215,0.4612444,-0.7283843
216,0.51270866,-0.7673223
217,0.59249085,-0.8412717
218,0.47122362,-0.6353717
219,0.96773404,-1.2400367
220,0.60507554,-0.7372867
221,0.5705574,-0.66143453
222,0.91610116,-1.0107615
223,0.62459344,-0.65603065
224,1.0521272,-1.0521265
225,0.70667154,-0.67280734
226,0.93251055,-0.8451784
227,1.2628276,-1.0893226
228,0.8422969,-0.6912551
229,1.4882349,-1.1614294
230,1.1890445,-0.88185483
231,1.1836331,-0.8336079
232,1.0890386,-0.7276724
233,0.7305829,-0.4626366
234,0.7433781,-0.44556355
235,1.2346028,-0.69939375
236,0.9392364,-0.502032
237,0.6449824,-0.32465667
238,1.3821534,-0.65370935
239,0.75261426,-0.33361104
240,0.88926035,-0.36834374
241,1.1348941,-0.4377769
242,1.416684,-0.50689745
243,1.4006827,-0.46272278
244,1.5659137,-0.47501424
245,0.7982656,-0.22090952
246,1.1461565,-0.28709736
247,0.92647946,-0.20804787
248,1.163284,-0.23139147
249,0.6675938,-0.1158384
250,0.8248101,-0.12234882
251,1.3185738,-0.16263016
252,1.1752678,-0.11575333
253,1.139883,-0.084082864
254,1.0100784,-0.049621955
255,0.794757,-0.019510109
